accuracy,client,client_trust_score,client_score
83.025,0,0.1,0.1
83.025,1,0.1,0.1
83.025,2,0.1,0.1
83.025,3,0.1,0.1
83.025,4,0.1,0.1
83.025,5,0.1,0.1
83.025,6,0.1,0.1
83.025,7,0.1,0.1
83.025,8,0.1,0.1
83.025,9,0.1,0.1
93.15,0,0.1,0.1
93.15,1,0.1,0.1
93.15,2,0.1,0.1
93.15,3,0.1,0.1
93.15,4,0.1,0.1
93.15,5,0.1,0.1
93.15,6,0.1,0.1
93.15,7,0.1,0.1
93.15,8,0.1,0.1
93.15,9,0.1,0.1
95.65833333333333,0,0.1,0.1
95.65833333333333,1,0.1,0.1
95.65833333333333,2,0.1,0.1
95.65833333333333,3,0.1,0.1
95.65833333333333,4,0.1,0.1
95.65833333333333,5,0.1,0.1
95.65833333333333,6,0.1,0.1
95.65833333333333,7,0.1,0.1
95.65833333333333,8,0.1,0.1
95.65833333333333,9,0.1,0.1
96.95,0,0.1,0.1
96.95,1,0.1,0.1
96.95,2,0.1,0.1
96.95,3,0.1,0.1
96.95,4,0.1,0.1
96.95,5,0.1,0.1
96.95,6,0.1,0.1
96.95,7,0.1,0.1
96.95,8,0.1,0.1
96.95,9,0.1,0.1
96.95,0,0.1,0.1
96.95,1,0.1,0.1
96.95,2,0.1,0.1
96.95,3,0.1,0.1
96.95,4,0.1,0.1
96.95,5,0.1,0.1
96.95,6,0.1,0.1
96.95,7,0.1,0.1
96.95,8,0.1,0.1
96.95,9,0.1,0.1
