client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,1.4099311828613281,52.458333333333336,,
Adversarial Client 0,1,0.5609114766120911,57.020833333333336,,
Adversarial Client 0,2,0.3774241507053375,58.729166666666664,,
Adversarial Client 0,3,0.30921855568885803,59.1875,,
Adversarial Client 0,4,0.2676421105861664,59.6875,,
Adversarial Client 0,5,0.22805863618850708,60.0,,
Adversarial Client 0,6,0.20933644473552704,60.333333333333336,,
Adversarial Client 0,7,0.19553320109844208,60.520833333333336,,
Adversarial Client 0,8,0.176235631108284,60.8125,,
Adversarial Client 0,9,0.16314087808132172,60.895833333333336,,
Adversarial Client 0,10,0.14562810957431793,61.25,,
Adversarial Client 0,11,0.14834408462047577,61.3125,,
Adversarial Client 0,12,0.13411623239517212,61.375,,
Adversarial Client 0,13,0.12551793456077576,61.520833333333336,,
Adversarial Client 0,14,0.1142345741391182,61.5,,
Adversarial Client 0,15,0.11410868167877197,61.583333333333336,,
Adversarial Client 0,16,0.1046077087521553,61.75,,
Adversarial Client 0,17,0.11184237152338028,61.854166666666664,,
Adversarial Client 0,18,0.10243279486894608,61.8125,,
Adversarial Client 0,19,0.09890156239271164,62.104166666666664,,
Adversarial Client 1,0,1.3777190446853638,53.267857142857146,,
Adversarial Client 1,1,0.5637059211730957,57.839285714285715,,
Adversarial Client 1,2,0.37072187662124634,59.107142857142854,,
Adversarial Client 1,3,0.30647873878479004,59.910714285714285,,
Adversarial Client 1,4,0.26003262400627136,60.357142857142854,,
Adversarial Client 1,5,0.23611876368522644,60.714285714285715,,
Adversarial Client 1,6,0.20606693625450134,61.232142857142854,,
Adversarial Client 1,7,0.18906757235527039,61.30357142857143,,
Adversarial Client 1,8,0.16747216880321503,61.57142857142857,,
Adversarial Client 1,9,0.15413762629032135,61.714285714285715,,
Adversarial Client 1,10,0.14709115028381348,62.17857142857143,,
Adversarial Client 1,11,0.14068175852298737,62.214285714285715,,
Adversarial Client 1,12,0.13140060007572174,62.214285714285715,,
Adversarial Client 1,13,0.1230388656258583,62.55357142857143,,
Adversarial Client 1,14,0.10945646464824677,62.535714285714285,,
Adversarial Client 1,15,0.10582596063613892,62.5,,
Adversarial Client 1,16,0.10182881355285645,62.625,,
Adversarial Client 1,17,0.09787493199110031,62.625,,
Adversarial Client 1,18,0.095908023416996,62.67857142857143,,
Adversarial Client 1,19,0.08721952885389328,62.57142857142857,,
Client 2,0,1.5689764022827148,46.567567567567565,,
Client 2,1,0.5888002514839172,56.62162162162162,,
Client 2,2,0.35888099670410156,58.2972972972973,,
Client 2,3,0.29801949858665466,59.108108108108105,,
Client 2,4,0.2561061382293701,59.78378378378378,,
Client 2,5,0.23172275722026825,60.108108108108105,,
Client 2,6,0.2101864367723465,60.75675675675676,,
Client 2,7,0.1890472173690796,61.027027027027025,,
Client 2,8,0.1741088181734085,61.189189189189186,,
Client 2,9,0.1579967439174652,61.270270270270274,,
Client 2,10,0.14200478792190552,61.432432432432435,,
Client 2,11,0.13805897533893585,61.62162162162162,,
Client 2,12,0.12449786812067032,61.5945945945946,,
Client 2,13,0.11492203176021576,61.78378378378378,,
Client 2,14,0.11819484829902649,61.78378378378378,,
Client 2,15,0.10481394827365875,61.78378378378378,,
Client 2,16,0.10555781424045563,61.86486486486486,,
Client 2,17,0.10282917320728302,62.189189189189186,,
Client 2,18,0.09286317974328995,62.027027027027025,,
Client 2,19,0.08846507966518402,62.054054054054056,,
Client 3,0,1.4107476472854614,50.868852459016395,,
Client 3,1,0.5481249094009399,56.63934426229508,,
Client 3,2,0.38594192266464233,57.50819672131148,,
Client 3,3,0.32965219020843506,58.78688524590164,,
Client 3,4,0.28911980986595154,59.114754098360656,,
Client 3,5,0.25559332966804504,59.40983606557377,,
