client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,0.6198034286499023,59.5354609929078,,
Adversarial Client 0,1,137176320.0,4.9361702127659575,,
Adversarial Client 0,2,358033120.0,8.698581560283689,,
Adversarial Client 0,3,1035555008.0,8.187943262411348,,
Adversarial Client 0,4,1493073152.0,7.322695035460993,,
Adversarial Client 0,5,2257395200.0,7.599290780141844,,
Adversarial Client 0,6,3358756608.0,13.22340425531915,,
Adversarial Client 0,7,5086883328.0,11.372340425531915,,
Adversarial Client 0,8,6724751872.0,7.851063829787234,,
Adversarial Client 0,9,9096035328.0,7.439716312056738,,
Adversarial Client 0,10,11776636928.0,5.907801418439717,,
Adversarial Client 0,11,14116267008.0,6.304964539007092,,
Adversarial Client 0,12,15133907968.0,6.329787234042553,,
Adversarial Client 0,13,15761893376.0,7.219858156028369,,
Adversarial Client 0,14,16736838656.0,9.5,,
Adversarial Client 0,15,20108390400.0,12.120567375886525,,
Adversarial Client 0,16,20330432512.0,11.929078014184396,,
Adversarial Client 0,17,23449188352.0,11.205673758865249,,
Adversarial Client 0,18,26497355776.0,10.120567375886525,,
Adversarial Client 0,19,27599628288.0,9.117021276595745,,
Adversarial Client 1,0,0.6104697585105896,59.361702127659576,,
Adversarial Client 1,1,137876096.0,5.273049645390071,,
Adversarial Client 1,2,358345728.0,8.560283687943262,,
Adversarial Client 1,3,1029722112.0,7.677304964539007,,
Adversarial Client 1,4,1488329088.0,7.280141843971631,,
Adversarial Client 1,5,2236714240.0,7.822695035460993,,
Adversarial Client 1,6,3364313088.0,13.375886524822695,,
Adversarial Client 1,7,5112542720.0,11.585106382978724,,
Adversarial Client 1,8,6701536256.0,8.02482269503546,,
Adversarial Client 1,9,9055058944.0,7.524822695035461,,
Adversarial Client 1,10,11667466240.0,6.177304964539007,,
Adversarial Client 1,11,14068938752.0,6.613475177304965,,
Adversarial Client 1,12,15056220160.0,6.404255319148936,,
Adversarial Client 1,13,15899288576.0,7.390070921985815,,
Adversarial Client 1,14,16282716160.0,9.549645390070921,,
Adversarial Client 1,15,19938441216.0,12.191489361702128,,
Adversarial Client 1,16,20202092544.0,11.98936170212766,,
Adversarial Client 1,17,23065651200.0,11.195035460992909,,
Adversarial Client 1,18,26263083008.0,10.148936170212766,,
Adversarial Client 1,19,27521583104.0,9.180851063829786,,
