client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,0.9748187065124512,57.34513274336283,,
Adversarial Client 0,1,793983.8125,11.805309734513274,,
Adversarial Client 0,2,2169567.75,11.29203539823009,,
Adversarial Client 0,3,2844530.0,10.628318584070797,,
Adversarial Client 0,4,3083910.5,11.141592920353983,,
Adversarial Client 0,5,2874463.75,13.168141592920353,,
Adversarial Client 0,6,2662577.5,15.300884955752212,,
Adversarial Client 0,7,2491028.5,18.805309734513273,,
Adversarial Client 0,8,2264215.25,21.336283185840706,,
Adversarial Client 0,9,2098670.75,22.75221238938053,,
Adversarial Client 0,10,1912488.5,23.858407079646017,,
Adversarial Client 0,11,1754094.5,24.920353982300885,,
Adversarial Client 0,12,1587942.125,25.858407079646017,,
Adversarial Client 0,13,1463555.375,27.141592920353983,,
Adversarial Client 0,14,1372253.0,28.088495575221238,,
Adversarial Client 0,15,1269470.875,28.98230088495575,,
Adversarial Client 0,16,1182076.0,30.17699115044248,,
Adversarial Client 0,17,1093826.375,30.911504424778762,,
Adversarial Client 0,18,1021098.75,31.513274336283185,,
Adversarial Client 0,19,944475.3125,32.123893805309734,,
Adversarial Client 1,0,0.976177453994751,57.19469026548673,,
Adversarial Client 1,1,800094.0,12.43362831858407,,
Adversarial Client 1,2,2143845.0,11.106194690265486,,
Adversarial Client 1,3,2840385.5,10.902654867256636,,
Adversarial Client 1,4,3076927.5,11.486725663716815,,
Adversarial Client 1,5,2873301.75,14.274336283185841,,
Adversarial Client 1,6,2611575.0,16.327433628318584,,
Adversarial Client 1,7,2417226.0,19.75221238938053,,
Adversarial Client 1,8,2326640.0,22.20353982300885,,
Adversarial Client 1,9,2072509.75,23.778761061946902,,
Adversarial Client 1,10,1885297.5,24.548672566371682,,
Adversarial Client 1,11,1723670.5,25.4070796460177,,
Adversarial Client 1,12,1596309.5,26.238938053097346,,
Adversarial Client 1,13,1455514.875,27.575221238938052,,
Adversarial Client 1,14,1347736.625,28.451327433628318,,
Adversarial Client 1,15,1278675.5,29.23008849557522,,
Adversarial Client 1,16,1152586.375,30.168141592920353,,
Adversarial Client 1,17,1068167.75,30.98230088495575,,
Adversarial Client 1,18,1008100.3125,31.47787610619469,,
Adversarial Client 1,19,964553.4375,32.06194690265487,,
Client 2,0,0.9696017503738403,57.1858407079646,,
Client 2,1,790506.75,12.91150442477876,,
Client 2,2,2127084.0,11.893805309734514,,
Client 2,3,2868918.0,11.716814159292035,,
Client 2,4,3078893.5,11.601769911504425,,
Client 2,5,2845038.0,14.185840707964601,,
Client 2,6,2631570.0,16.02654867256637,,
Client 2,7,2495190.0,19.04424778761062,,
Client 2,8,2316389.0,22.02654867256637,,
Client 2,9,2087239.875,23.04424778761062,,
Client 2,10,1930007.5,23.79646017699115,,
Client 2,11,1729632.375,24.76991150442478,,
Client 2,12,1607433.375,25.86725663716814,,
Client 2,13,1459431.0,27.327433628318584,,
Client 2,14,1360131.5,28.628318584070797,,
Client 2,15,1278028.875,29.283185840707965,,
Client 2,16,1166517.125,29.98230088495575,,
Client 2,17,1064077.25,30.831858407079647,,
Client 2,18,1018855.0625,31.451327433628318,,
Client 2,19,947117.125,31.946902654867255,,
Client 3,0,0.9739111661911011,57.15929203539823,,
Client 3,1,800506.125,12.185840707964601,,
Client 3,2,2136109.25,10.991150442477876,,
Client 3,3,2846460.25,11.026548672566372,,
Client 3,4,3026278.75,11.63716814159292,,
Client 3,5,2889223.75,14.646017699115044,,
Client 3,6,2640942.25,16.557522123893804,,
Client 3,7,2465713.75,19.5929203539823,,
Client 3,8,2232315.75,22.36283185840708,,
Client 3,9,2060868.875,23.654867256637168,,
Client 3,10,1879177.0,24.451327433628318,,
Client 3,11,1716420.5,25.654867256637168,,
Client 3,12,1605380.5,26.31858407079646,,
Client 3,13,1461133.875,27.601769911504423,,
Client 3,14,1360658.75,28.8141592920354,,
Client 3,15,1254544.75,29.61946902654867,,
Client 3,16,1144427.375,30.43362831858407,,
Client 3,17,1087027.125,31.221238938053098,,
Client 3,18,989182.0625,31.646017699115045,,
Client 3,19,927401.5,32.07079646017699,,
Client 4,0,0.9439004063606262,57.23893805309734,,
Client 4,1,802708.125,11.973451327433628,,
Client 4,2,2124828.5,11.769911504424778,,
Client 4,3,2829615.75,11.610619469026549,,
Client 4,4,3009427.75,11.690265486725664,,
Client 4,5,2831554.25,14.460176991150442,,
Client 4,6,2611274.5,16.41592920353982,,
Client 4,7,2448893.0,19.053097345132745,,
Client 4,8,2297455.5,21.72566371681416,,
Client 4,9,2055826.875,23.601769911504423,,
Client 4,10,1868434.5,24.061946902654867,,
Client 4,11,1682831.25,25.504424778761063,,
Client 4,12,1601143.625,26.513274336283185,,
Client 4,13,1439810.0,27.76991150442478,,
Client 4,14,1367756.5,28.849557522123895,,
Client 4,15,1245175.625,29.849557522123895,,
Client 4,16,1151245.0,30.743362831858406,,
Client 4,17,1076136.375,31.61946902654867,,
Client 4,18,985537.125,32.16814159292036,,
Client 4,19,934890.625,32.584070796460175,,
