client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,1.5224030017852783,50.01851851851852,,
Adversarial Client 0,1,117503.25,11.925925925925926,,
Adversarial Client 0,2,433644.15625,8.62962962962963,,
Adversarial Client 0,3,1051715.0,16.75925925925926,,
Adversarial Client 0,4,1416527.375,14.407407407407407,,
Adversarial Client 0,5,2300788.5,8.833333333333334,,
Adversarial Client 0,6,3083067.75,9.314814814814815,,
Adversarial Client 0,7,3993111.5,9.37037037037037,,
Adversarial Client 0,8,4414522.5,12.277777777777779,,
Adversarial Client 0,9,5476671.5,10.074074074074074,,
Adversarial Client 0,10,6518279.0,13.055555555555555,,
Adversarial Client 0,11,8182598.5,16.24074074074074,,
Adversarial Client 0,12,9894881.0,12.407407407407407,,
Adversarial Client 0,13,10040626.0,15.148148148148149,,
Adversarial Client 0,14,12250463.0,9.055555555555555,,
Adversarial Client 0,15,15857730.0,10.351851851851851,,
Adversarial Client 0,16,17053430.0,13.296296296296296,,
Adversarial Client 0,17,18283598.0,10.185185185185185,,
Adversarial Client 0,18,17761502.0,13.222222222222221,,
Adversarial Client 0,19,19536014.0,13.38888888888889,,
Adversarial Client 1,0,1.4326505661010742,50.37777777777778,,
Adversarial Client 1,1,117395.1875,15.177777777777777,,
Adversarial Client 1,2,433708.5,12.066666666666666,,
Adversarial Client 1,3,1096752.375,15.466666666666667,,
Adversarial Client 1,4,1565132.125,9.977777777777778,,
Adversarial Client 1,5,2298961.0,7.933333333333334,,
Adversarial Client 1,6,3135274.0,9.266666666666667,,
Adversarial Client 1,7,3706944.25,11.333333333333334,,
Adversarial Client 1,8,4783506.0,8.11111111111111,,
Adversarial Client 1,9,5703837.5,6.5777777777777775,,
Adversarial Client 1,10,6648942.0,10.6,,
Adversarial Client 1,11,8278597.5,16.155555555555555,,
Adversarial Client 1,12,9599712.0,17.622222222222224,,
Adversarial Client 1,13,10143196.0,13.644444444444444,,
Adversarial Client 1,14,11674133.0,12.6,,
Adversarial Client 1,15,14577485.0,14.422222222222222,,
Adversarial Client 1,16,15393338.0,13.466666666666667,,
Adversarial Client 1,17,17644206.0,11.933333333333334,,
Adversarial Client 1,18,19082290.0,10.355555555555556,,
Adversarial Client 1,19,21298230.0,9.844444444444445,,
Client 2,0,1.3465006351470947,51.65079365079365,,
Client 2,1,115960.9609375,10.73015873015873,,
Client 2,2,433224.8125,7.904761904761905,,
Client 2,3,1232321.0,9.65079365079365,,
Client 2,4,1471993.0,13.0,,
Client 2,5,2175351.5,11.952380952380953,,
Client 2,6,3244885.25,7.142857142857143,,
Client 2,7,3683882.75,12.968253968253968,,
Client 2,8,4266474.0,13.968253968253968,,
Client 2,9,5288134.5,13.206349206349206,,
Client 2,10,6293664.5,15.285714285714286,,
Client 2,11,8639279.0,14.666666666666666,,
Client 2,12,9962794.0,14.142857142857142,,
Client 2,13,10234760.0,13.73015873015873,,
Client 2,14,11700501.0,10.428571428571429,,
Client 2,15,15166021.0,9.142857142857142,,
Client 2,16,17431004.0,10.619047619047619,,
Client 2,17,19338098.0,7.777777777777778,,
Client 2,18,18921256.0,11.253968253968255,,
Client 2,19,19826804.0,11.793650793650794,,
Client 3,0,1.4329591989517212,51.375,,
Client 3,1,97685.9140625,16.416666666666668,,
Client 3,2,463847.34375,7.75,,
Client 3,3,1148612.125,14.854166666666666,,
Client 3,4,1602106.5,10.333333333333334,,
Client 3,5,2426152.5,6.5,,
Client 3,6,3349985.25,8.541666666666666,,
Client 3,7,4016652.0,13.104166666666666,,
Client 3,8,4896211.0,11.125,,
Client 3,9,5149630.0,11.0,,
Client 3,10,6510342.5,12.479166666666666,,
Client 3,11,8568007.0,17.083333333333332,,
Client 3,12,9787117.0,16.25,,
Client 3,13,11040734.0,12.0625,,
Client 3,14,13170520.0,7.6875,,
Client 3,15,16358293.0,10.333333333333334,,
Client 3,16,16479707.0,13.604166666666666,,
Client 3,17,18525934.0,10.333333333333334,,
Client 3,18,18949214.0,12.8125,,
Client 3,19,19846598.0,13.666666666666666,,
Client 4,0,1.3018790483474731,54.34722222222222,,
Client 4,1,103996.5703125,18.40277777777778,,
Client 4,2,413913.0625,12.972222222222221,,
Client 4,3,923609.4375,21.02777777777778,,
Client 4,4,1300873.125,16.666666666666668,,
Client 4,5,2072152.0,12.597222222222221,,
Client 4,6,2820738.25,14.875,,
Client 4,7,3754553.75,14.319444444444445,,
Client 4,8,4353182.0,16.041666666666668,,
Client 4,9,5228572.5,11.98611111111111,,
Client 4,10,6657343.5,15.38888888888889,,
Client 4,11,7787497.0,17.458333333333332,,
Client 4,12,9694860.0,15.055555555555555,,
Client 4,13,10018868.0,17.11111111111111,,
Client 4,14,11641836.0,10.88888888888889,,
Client 4,15,14636354.0,13.666666666666666,,
Client 4,16,15725831.0,18.069444444444443,,
Client 4,17,16984854.0,14.13888888888889,,
Client 4,18,17450400.0,16.180555555555557,,
Client 4,19,19003810.0,15.902777777777779,,
Client 5,0,1.2617383003234863,54.65079365079365,,
Client 5,1,113108.2578125,14.238095238095237,,
Client 5,2,417337.25,11.126984126984127,,
Client 5,3,1103242.25,15.634920634920634,,
Client 5,4,1350784.0,19.317460317460316,,
Client 5,5,2119566.5,15.142857142857142,,
Client 5,6,3031812.5,13.873015873015873,,
Client 5,7,3842381.75,13.047619047619047,,
Client 5,8,4326387.0,14.714285714285714,,
Client 5,9,5466461.5,12.777777777777779,,
Client 5,10,6879006.0,15.587301587301587,,
Client 5,11,8286113.0,15.253968253968255,,
Client 5,12,9949464.0,14.507936507936508,,
Client 5,13,10580464.0,14.682539682539682,,
Client 5,14,11601197.0,11.603174603174603,,
Client 5,15,15401063.0,11.507936507936508,,
Client 5,16,16190285.0,16.095238095238095,,
Client 5,17,18636004.0,10.825396825396826,,
Client 5,18,18827610.0,12.793650793650794,,
Client 5,19,20712116.0,11.968253968253968,,
Client 6,0,1.4529558420181274,51.666666666666664,,
Client 6,1,116695.3828125,9.35,,
Client 6,2,444851.15625,7.083333333333333,,
Client 6,3,1164744.5,11.366666666666667,,
Client 6,4,1422404.0,12.566666666666666,,
Client 6,5,2097972.25,11.55,,
Client 6,6,3051086.75,8.666666666666666,,
Client 6,7,3689777.75,10.6,,
Client 6,8,4309824.5,12.25,,
Client 6,9,5557142.0,10.083333333333334,,
Client 6,10,6443589.0,14.283333333333333,,
Client 6,11,9058433.0,14.316666666666666,,
Client 6,12,10234682.0,13.733333333333333,,
Client 6,13,10249136.0,15.733333333333333,,
Client 6,14,11522893.0,11.45,,
Client 6,15,14248713.0,11.6,,
Client 6,16,16390252.0,13.483333333333333,,
Client 6,17,17934840.0,10.616666666666667,,
Client 6,18,18430628.0,12.35,,
Client 6,19,19807138.0,11.983333333333333,,
Client 7,0,1.4593284130096436,51.6078431372549,,
Client 7,1,105748.109375,15.411764705882353,,
Client 7,2,433875.09375,9.509803921568627,,
Client 7,3,1143247.25,14.372549019607844,,
Client 7,4,1464839.25,13.215686274509803,,
Client 7,5,2235988.0,10.313725490196079,,
Client 7,6,3023030.0,9.882352941176471,,
