client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,1.5413439273834229,50.82692307692308,,
Adversarial Client 0,1,10862.923828125,14.923076923076923,,
Adversarial Client 0,2,13825.814453125,19.076923076923077,,
Adversarial Client 0,3,12133.9677734375,22.25,,
Adversarial Client 0,4,10506.22265625,26.596153846153847,,
Adversarial Client 0,5,9100.1474609375,30.692307692307693,,
Adversarial Client 0,6,7724.357421875,33.05769230769231,,
Adversarial Client 0,7,6795.92919921875,35.53846153846154,,
Adversarial Client 0,8,6007.6025390625,37.09615384615385,,
Adversarial Client 0,9,5280.87841796875,38.90384615384615,,
Adversarial Client 0,10,4589.73779296875,40.26923076923077,,
Adversarial Client 0,11,4281.3095703125,41.11538461538461,,
Adversarial Client 0,12,3900.874755859375,41.88461538461539,,
Adversarial Client 0,13,3488.94580078125,42.40384615384615,,
Adversarial Client 0,14,3232.8115234375,42.23076923076923,,
Adversarial Client 0,15,2980.83447265625,42.82692307692308,,
Adversarial Client 0,16,2691.3056640625,42.92307692307692,,
Adversarial Client 0,17,2683.122314453125,43.0,,
Adversarial Client 0,18,2502.188232421875,42.98076923076923,,
Adversarial Client 0,19,2194.875,42.63461538461539,,
Adversarial Client 1,0,1.5045768022537231,51.0,,
Adversarial Client 1,1,10037.40234375,13.350877192982455,,
Adversarial Client 1,2,14024.505859375,20.228070175438596,,
Adversarial Client 1,3,12087.1337890625,25.719298245614034,,
Adversarial Client 1,4,10567.6875,29.228070175438596,,
Adversarial Client 1,5,8718.2333984375,32.35087719298246,,
Adversarial Client 1,6,7444.962890625,34.98245614035088,,
Adversarial Client 1,7,6627.716796875,37.05263157894737,,
Adversarial Client 1,8,5910.29150390625,38.70175438596491,,
Adversarial Client 1,9,5285.32763671875,40.175438596491226,,
Adversarial Client 1,10,4659.845703125,41.56140350877193,,
Adversarial Client 1,11,4215.90771484375,42.280701754385966,,
Adversarial Client 1,12,3868.61328125,43.49122807017544,,
Adversarial Client 1,13,3608.70556640625,44.05263157894737,,
Adversarial Client 1,14,3282.573486328125,44.01754385964912,,
Adversarial Client 1,15,3022.013427734375,44.07017543859649,,
Adversarial Client 1,16,2791.645751953125,44.19298245614035,,
Adversarial Client 1,17,2659.80126953125,43.771929824561404,,
Adversarial Client 1,18,2489.021728515625,43.68421052631579,,
Adversarial Client 1,19,2238.906005859375,43.421052631578945,,
Client 2,0,1.6509809494018555,47.42857142857143,,
