client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,1.4258564710617065,53.70175438596491,,
Adversarial Client 0,1,262254.09375,5.035087719298246,,
Adversarial Client 0,2,790500.125,11.649122807017545,,
Adversarial Client 0,3,1542765.5,7.368421052631579,,
Adversarial Client 0,4,2246412.5,7.385964912280702,,
Adversarial Client 0,5,3977697.5,8.526315789473685,,
Adversarial Client 0,6,6378611.0,10.350877192982455,,
Adversarial Client 0,7,9519187.0,8.12280701754386,,
Adversarial Client 0,8,11266695.0,7.824561403508772,,
Adversarial Client 0,9,14283851.0,8.807017543859649,,
Adversarial Client 0,10,16180504.0,10.228070175438596,,
Adversarial Client 0,11,19731080.0,10.75438596491228,,
Adversarial Client 0,12,24092786.0,9.228070175438596,,
Adversarial Client 0,13,26606648.0,8.789473684210526,,
Adversarial Client 0,14,32908158.0,7.912280701754386,,
Adversarial Client 0,15,33213644.0,9.666666666666666,,
Adversarial Client 0,16,39191520.0,9.578947368421053,,
Adversarial Client 0,17,39172100.0,8.192982456140351,,
Adversarial Client 0,18,41176284.0,8.596491228070175,,
Adversarial Client 0,19,41160720.0,10.210526315789474,,
Adversarial Client 1,0,1.4348279237747192,53.19298245614035,,
Adversarial Client 1,1,254679.5625,4.456140350877193,,
Adversarial Client 1,2,795988.1875,12.736842105263158,,
Adversarial Client 1,3,1525394.25,7.7894736842105265,,
Adversarial Client 1,4,2209742.25,7.842105263157895,,
Adversarial Client 1,5,4040395.75,8.298245614035087,,
Adversarial Client 1,6,6299345.0,11.228070175438596,,
Adversarial Client 1,7,9509699.0,8.017543859649123,,
Adversarial Client 1,8,11095508.0,7.333333333333333,,
Adversarial Client 1,9,14451657.0,8.75438596491228,,
Adversarial Client 1,10,16135170.0,9.473684210526315,,
Adversarial Client 1,11,19883848.0,9.982456140350877,,
Adversarial Client 1,12,24865456.0,9.982456140350877,,
Adversarial Client 1,13,27395716.0,9.105263157894736,,
Adversarial Client 1,14,33014344.0,7.859649122807017,,
Adversarial Client 1,15,33807480.0,9.403508771929825,,
Adversarial Client 1,16,39666864.0,10.052631578947368,,
Adversarial Client 1,17,40228556.0,8.070175438596491,,
Adversarial Client 1,18,40816780.0,8.017543859649123,,
Adversarial Client 1,19,41781424.0,10.140350877192983,,
Client 2,0,1.44660222530365,54.07017543859649,,
Client 2,1,266195.625,5.052631578947368,,
Client 2,2,795185.875,11.87719298245614,,
Client 2,3,1511144.75,7.578947368421052,,
Client 2,4,2234318.5,8.421052631578947,,
Client 2,5,4103590.5,8.807017543859649,,
Client 2,6,6507261.0,10.578947368421053,,
Client 2,7,9598673.0,8.192982456140351,,
Client 2,8,11425526.0,7.526315789473684,,
Client 2,9,14552415.0,7.982456140350878,,
Client 2,10,16685135.0,9.087719298245615,,
Client 2,11,20224186.0,9.298245614035087,,
Client 2,12,24872022.0,9.24561403508772,,
Client 2,13,27714932.0,8.157894736842104,,
Client 2,14,33182296.0,7.087719298245614,,
Client 2,15,33490406.0,9.210526315789474,,
Client 2,16,39359648.0,9.192982456140351,,
Client 2,17,39279224.0,7.5964912280701755,,
Client 2,18,41924120.0,7.947368421052632,,
Client 2,19,41619784.0,9.859649122807017,,
Client 3,0,1.3849000930786133,53.91228070175438,,
Client 3,1,263286.5,5.491228070175438,,
Client 3,2,788603.5,11.263157894736842,,
Client 3,3,1497163.25,7.7894736842105265,,
Client 3,4,2226695.0,7.666666666666667,,
Client 3,5,4160137.5,8.736842105263158,,
Client 3,6,6333382.5,11.070175438596491,,
Client 3,7,9514956.0,8.087719298245615,,
Client 3,8,11199641.0,7.807017543859649,,
Client 3,9,14275057.0,8.263157894736842,,
Client 3,10,16399937.0,9.350877192982455,,
Client 3,11,19644394.0,10.192982456140351,,
Client 3,12,24850966.0,9.087719298245615,,
Client 3,13,27279536.0,8.368421052631579,,
Client 3,14,33149190.0,7.228070175438597,,
Client 3,15,34030532.0,8.964912280701755,,
Client 3,16,39529080.0,9.807017543859649,,
Client 3,17,39988492.0,7.894736842105263,,
Client 3,18,41083584.0,8.350877192982455,,
Client 3,19,42096024.0,10.070175438596491,,
Client 4,0,1.4160199165344238,53.63157894736842,,
Client 4,1,256270.765625,5.7368421052631575,,
Client 4,2,795476.1875,11.894736842105264,,
Client 4,3,1548913.5,6.859649122807017,,
Client 4,4,2302170.75,7.56140350877193,,
Client 4,5,4084222.25,8.929824561403509,,
Client 4,6,6485109.5,11.192982456140351,,
Client 4,7,9663216.0,8.105263157894736,,
Client 4,8,11076879.0,7.508771929824562,,
Client 4,9,14592788.0,8.052631578947368,,
Client 4,10,16389389.0,9.68421052631579,,
Client 4,11,19613360.0,9.719298245614034,,
Client 4,12,24980154.0,9.24561403508772,,
Client 4,13,27359214.0,8.24561403508772,,
Client 4,14,32977798.0,7.771929824561403,,
Client 4,15,34575772.0,9.017543859649123,,
Client 4,16,39521436.0,9.368421052631579,,
Client 4,17,39430612.0,7.473684210526316,,
Client 4,18,40808860.0,7.842105263157895,,
Client 4,19,41678064.0,10.017543859649123,,
Client 5,0,1.413678526878357,53.6140350877193,,
Client 5,1,260458.171875,5.87719298245614,,
Client 5,2,785418.875,12.017543859649123,,
Client 5,3,1545071.75,7.245614035087719,,
Client 5,4,2275432.75,7.2105263157894735,,
Client 5,5,4030183.25,8.43859649122807,,
Client 5,6,6416915.5,11.12280701754386,,
Client 5,7,9451509.0,8.12280701754386,,
Client 5,8,11362728.0,7.649122807017544,,
Client 5,9,14503789.0,8.035087719298245,,
Client 5,10,16444213.0,9.649122807017545,,
Client 5,11,20198660.0,9.596491228070175,,
Client 5,12,24857988.0,10.035087719298245,,
Client 5,13,27421286.0,8.526315789473685,,
Client 5,14,33309622.0,7.859649122807017,,
Client 5,15,34385540.0,9.56140350877193,,
Client 5,16,39490088.0,9.543859649122806,,
Client 5,17,40078480.0,7.701754385964913,,
Client 5,18,40830824.0,8.403508771929825,,
Client 5,19,41651740.0,10.456140350877194,,
Client 6,0,1.4175208806991577,52.35087719298246,,
Client 6,1,255589.09375,5.333333333333333,,
Client 6,2,794641.8125,11.701754385964913,,
Client 6,3,1529375.125,7.385964912280702,,
Client 6,4,2261607.5,7.12280701754386,,
Client 6,5,4072052.25,8.789473684210526,,
Client 6,6,6385719.0,11.017543859649123,,
Client 6,7,9469035.0,8.421052631578947,,
Client 6,8,11353795.0,7.350877192982456,,
Client 6,9,14456701.0,7.9298245614035086,,
Client 6,10,16406136.0,9.68421052631579,,
Client 6,11,19568120.0,10.087719298245615,,
Client 6,12,24555818.0,9.666666666666666,,
Client 6,13,27239586.0,9.350877192982455,,
Client 6,14,32665256.0,7.947368421052632,,
Client 6,15,32947842.0,9.263157894736842,,
Client 6,16,38905712.0,9.929824561403509,,
Client 6,17,38612704.0,8.192982456140351,,
Client 6,18,40545936.0,8.87719298245614,,
Client 6,19,40674232.0,10.017543859649123,,
Client 7,0,1.421869158744812,53.03508771929825,,
Client 7,1,260751.828125,5.298245614035087,,
Client 7,2,781285.0625,12.929824561403509,,
Client 7,3,1551207.0,7.087719298245614,,
Client 7,4,2297802.0,7.649122807017544,,
Client 7,5,4106457.75,8.824561403508772,,
Client 7,6,6411649.0,10.807017543859649,,
Client 7,7,9597412.0,8.017543859649123,,
Client 7,8,11430152.0,7.421052631578948,,
