client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,1.4405791759490967,53.31578947368421,,
Adversarial Client 0,1,222494.625,7.508771929824562,,
Adversarial Client 0,2,526596.6875,6.0701754385964914,,
Adversarial Client 0,3,521085.09375,11.105263157894736,,
Adversarial Client 0,4,482620.40625,12.912280701754385,,
Adversarial Client 0,5,438045.09375,14.578947368421053,,
Adversarial Client 0,6,394160.96875,16.19298245614035,,
Adversarial Client 0,7,359895.9375,19.228070175438596,,
Adversarial Client 0,8,342013.4375,20.666666666666668,,
Adversarial Client 0,9,319278.90625,21.68421052631579,,
Adversarial Client 0,10,294594.65625,22.649122807017545,,
Adversarial Client 0,11,277461.59375,23.80701754385965,,
Adversarial Client 0,12,260392.125,25.17543859649123,,
Adversarial Client 0,13,254440.890625,26.333333333333332,,
Adversarial Client 0,14,230698.953125,27.80701754385965,,
Adversarial Client 0,15,221963.140625,29.473684210526315,,
Adversarial Client 0,16,212545.453125,30.473684210526315,,
Adversarial Client 0,17,200417.375,31.614035087719298,,
Adversarial Client 0,18,192304.953125,32.3859649122807,,
Adversarial Client 0,19,180163.0625,33.31578947368421,,
Adversarial Client 1,0,1.4166367053985596,53.45614035087719,,
Adversarial Client 1,1,222329.515625,7.543859649122807,,
Adversarial Client 1,2,509124.03125,6.508771929824562,,
Adversarial Client 1,3,511468.90625,12.456140350877194,,
Adversarial Client 1,4,481912.28125,13.368421052631579,,
Adversarial Client 1,5,428571.8125,15.614035087719298,,
Adversarial Client 1,6,391241.46875,17.24561403508772,,
Adversarial Client 1,7,364990.0625,19.92982456140351,,
Adversarial Client 1,8,330744.3125,21.70175438596491,,
Adversarial Client 1,9,303999.65625,22.29824561403509,,
Adversarial Client 1,10,291592.59375,23.140350877192983,,
Adversarial Client 1,11,275716.1875,24.45614035087719,,
Adversarial Client 1,12,254830.15625,25.842105263157894,,
Adversarial Client 1,13,240991.265625,27.19298245614035,,
Adversarial Client 1,14,225081.828125,28.473684210526315,,
Adversarial Client 1,15,214883.65625,29.736842105263158,,
Adversarial Client 1,16,201211.9375,30.75438596491228,,
Adversarial Client 1,17,192441.390625,31.87719298245614,,
Adversarial Client 1,18,182634.203125,32.96491228070175,,
Adversarial Client 1,19,177102.671875,34.12280701754386,,
Adversarial Client 2,0,1.4076541662216187,54.35087719298246,,
Adversarial Client 2,1,218478.0,7.912280701754386,,
Adversarial Client 2,2,524473.625,6.350877192982456,,
Adversarial Client 2,3,517530.0625,12.035087719298245,,
Adversarial Client 2,4,483612.75,13.859649122807017,,
Adversarial Client 2,5,432279.75,15.31578947368421,,
Adversarial Client 2,6,396038.8125,16.68421052631579,,
Adversarial Client 2,7,362294.3125,19.70175438596491,,
Adversarial Client 2,8,328249.75,21.42105263157895,,
Adversarial Client 2,9,312762.9375,22.385964912280702,,
Adversarial Client 2,10,291898.84375,23.31578947368421,,
Adversarial Client 2,11,270099.34375,24.54385964912281,,
Adversarial Client 2,12,256506.625,25.982456140350877,,
Adversarial Client 2,13,243454.765625,27.333333333333332,,
Adversarial Client 2,14,238139.703125,28.894736842105264,,
Adversarial Client 2,15,218882.15625,30.385964912280702,,
Adversarial Client 2,16,203593.109375,31.771929824561404,,
Adversarial Client 2,17,195158.484375,33.07017543859649,,
Adversarial Client 2,18,185312.171875,33.824561403508774,,
Adversarial Client 2,19,176754.296875,34.43859649122807,,
Adversarial Client 3,0,1.4284552335739136,53.473684210526315,,
Adversarial Client 3,1,222937.625,7.947368421052632,,
Adversarial Client 3,2,521010.28125,6.350877192982456,,
Adversarial Client 3,3,521696.1875,12.105263157894736,,
Adversarial Client 3,4,486254.59375,13.666666666666666,,
Adversarial Client 3,5,424587.71875,14.912280701754385,,
Adversarial Client 3,6,399178.96875,16.614035087719298,,
Adversarial Client 3,7,357209.625,19.526315789473685,,
Adversarial Client 3,8,336893.34375,21.19298245614035,,
Adversarial Client 3,9,318709.15625,22.526315789473685,,
Adversarial Client 3,10,301066.75,23.43859649122807,,
Adversarial Client 3,11,278121.21875,24.75438596491228,,
Adversarial Client 3,12,260227.8125,26.263157894736842,,
Adversarial Client 3,13,246310.828125,27.666666666666668,,
Adversarial Client 3,14,227339.25,29.087719298245613,,
Adversarial Client 3,15,218256.953125,30.54385964912281,,
Adversarial Client 3,16,203714.234375,31.614035087719298,,
Adversarial Client 3,17,198305.953125,32.578947368421055,,
Adversarial Client 3,18,187726.765625,33.64912280701754,,
Adversarial Client 3,19,175896.8125,34.45614035087719,,
Adversarial Client 4,0,1.4090932607650757,53.29824561403509,,
Adversarial Client 4,1,220455.828125,7.421052631578948,,
Adversarial Client 4,2,527226.8125,6.491228070175438,,
Adversarial Client 4,3,508799.34375,12.192982456140351,,
Adversarial Client 4,4,478821.25,13.263157894736842,,
Adversarial Client 4,5,426110.375,15.228070175438596,,
Adversarial Client 4,6,390029.09375,17.31578947368421,,
Adversarial Client 4,7,368660.46875,19.57894736842105,,
Adversarial Client 4,8,330704.34375,21.210526315789473,,
Adversarial Client 4,9,309824.5,21.92982456140351,,
Adversarial Client 4,10,286794.3125,22.94736842105263,,
Adversarial Client 4,11,274494.03125,24.0,,
Adversarial Client 4,12,261659.96875,25.385964912280702,,
Adversarial Client 4,13,246833.75,26.82456140350877,,
Adversarial Client 4,14,222168.015625,28.31578947368421,,
Adversarial Client 4,15,220923.515625,29.56140350877193,,
Adversarial Client 4,16,206104.03125,30.49122807017544,,
Adversarial Client 4,17,198985.109375,31.403508771929825,,
Adversarial Client 4,18,182262.1875,32.421052631578945,,
Adversarial Client 4,19,177898.875,33.40350877192982,,
Client 5,0,1.4541786909103394,53.1578947368421,,
Client 5,1,225183.90625,7.614035087719298,,
Client 5,2,532776.8125,6.350877192982456,,
Client 5,3,514411.21875,12.035087719298245,,
Client 5,4,482233.71875,13.368421052631579,,
Client 5,5,423637.71875,14.982456140350877,,
Client 5,6,397766.8125,16.80701754385965,,
Client 5,7,357302.5,19.087719298245613,,
Client 5,8,343768.40625,21.42105263157895,,
Client 5,9,306862.6875,22.210526315789473,,
Client 5,10,286983.96875,23.526315789473685,,
Client 5,11,276563.875,24.56140350877193,,
Client 5,12,256368.46875,26.17543859649123,,
Client 5,13,239349.1875,27.473684210526315,,
Client 5,14,236097.0,28.666666666666668,,
Client 5,15,206142.953125,29.859649122807017,,
Client 5,16,205596.125,31.07017543859649,,
Client 5,17,197544.984375,32.12280701754386,,
Client 5,18,189971.515625,33.175438596491226,,
Client 5,19,176692.875,34.10526315789474,,
Client 6,0,1.435888409614563,52.526315789473685,,
Client 6,1,222544.546875,7.4035087719298245,,
Client 6,2,531029.5625,5.964912280701754,,
Client 6,3,503578.375,12.035087719298245,,
Client 6,4,476544.40625,14.105263157894736,,
Client 6,5,435209.46875,15.456140350877194,,
Client 6,6,402479.65625,16.68421052631579,,
Client 6,7,360265.125,19.12280701754386,,
Client 6,8,341986.875,21.087719298245613,,
Client 6,9,308200.5,22.56140350877193,,
Client 6,10,297591.75,23.54385964912281,,
Client 6,11,279625.78125,24.82456140350877,,
Client 6,12,255489.609375,26.350877192982455,,
Client 6,13,249990.0,27.57894736842105,,
Client 6,14,232588.5625,28.666666666666668,,
Client 6,15,221281.4375,30.087719298245613,,
Client 6,16,206721.453125,31.140350877192983,,
Client 6,17,193622.1875,32.07017543859649,,
Client 6,18,186639.8125,33.333333333333336,,
Client 6,19,176223.34375,34.14035087719298,,
Client 7,0,1.438642144203186,53.29824561403509,,
Client 7,1,225801.828125,7.087719298245614,,
Client 7,2,524603.0,5.947368421052632,,
Client 7,3,525613.875,11.350877192982455,,
Client 7,4,491738.34375,13.508771929824562,,
Client 7,5,438399.75,14.929824561403509,,
Client 7,6,397229.21875,16.614035087719298,,
Client 7,7,373285.375,19.19298245614035,,
Client 7,8,342337.375,20.912280701754387,,
Client 7,9,315483.40625,21.82456140350877,,
Client 7,10,297677.53125,22.894736842105264,,
Client 7,11,278041.0625,24.140350877192983,,
Client 7,12,258651.171875,25.63157894736842,,
Client 7,13,242520.234375,27.157894736842106,,
Client 7,14,239500.34375,28.56140350877193,,
Client 7,15,221982.984375,29.57894736842105,,
Client 7,16,208209.34375,30.771929824561404,,
Client 7,17,197846.203125,31.736842105263158,,
Client 7,18,192425.609375,32.75438596491228,,
Client 7,19,173895.578125,33.36842105263158,,
Client 8,0,1.4258143901824951,53.824561403508774,,
Client 8,1,219241.140625,7.842105263157895,,
