client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,0.5526419878005981,59.52459016393443,,
Adversarial Client 0,1,75983600.0,9.256830601092895,,
Adversarial Client 0,2,256702656.0,8.3224043715847,,
Adversarial Client 0,3,537983680.0,10.472677595628415,,
Adversarial Client 0,4,1023532224.0,12.453551912568306,,
Adversarial Client 0,5,1551239424.0,13.081967213114755,,
Adversarial Client 0,6,1698096256.0,15.19672131147541,,
Adversarial Client 0,7,2430425856.0,14.857923497267759,,
Adversarial Client 0,8,3870929664.0,14.281420765027322,,
Adversarial Client 0,9,4492776960.0,16.379781420765028,,
Adversarial Client 0,10,6334183424.0,10.453551912568306,,
Adversarial Client 0,11,6810436608.0,10.923497267759563,,
Adversarial Client 0,12,8663432192.0,9.325136612021858,,
Adversarial Client 0,13,10456309760.0,9.688524590163935,,
Adversarial Client 0,14,11018947584.0,13.48360655737705,,
Adversarial Client 0,15,11667449856.0,14.426229508196721,,
Adversarial Client 0,16,14023343104.0,13.005464480874316,,
Adversarial Client 0,17,16663329792.0,9.816939890710383,,
Adversarial Client 0,18,17255645184.0,9.352459016393443,,
Adversarial Client 0,19,18747656192.0,10.584699453551913,,
Client 1,0,0.5674713850021362,59.707070707070706,,
Client 1,1,77895976.0,15.954545454545455,,
Client 1,2,272561568.0,8.090909090909092,,
Client 1,3,523403456.0,11.525252525252526,,
Client 1,4,1129956352.0,6.161616161616162,,
Client 1,5,1443776896.0,11.166666666666666,,
Client 1,6,1548748416.0,16.045454545454547,,
Client 1,7,2472944640.0,12.065656565656566,,
Client 1,8,3522290944.0,18.45959595959596,,
Client 1,9,5251750912.0,9.318181818181818,,
Client 1,10,6344638976.0,11.005050505050505,,
Client 1,11,7256436736.0,9.570707070707071,,
Client 1,12,9876976640.0,4.242424242424242,,
Client 1,13,11596853248.0,4.909090909090909,,
Client 1,14,11716408320.0,7.833333333333333,,
Client 1,15,13903878144.0,3.393939393939394,,
Client 1,16,15249170432.0,8.166666666666666,,
Client 1,17,16270609408.0,7.747474747474747,,
Client 1,18,17801021440.0,5.409090909090909,,
Client 1,19,20101167104.0,7.98989898989899,,
