client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,0.5540124177932739,59.65886287625418,,
Adversarial Client 0,1,1318.37353515625,47.11036789297659,,
Adversarial Client 0,2,3224.517822265625,41.42809364548495,,
Adversarial Client 0,3,5236.55908203125,38.64882943143812,,
Adversarial Client 0,4,7426.9375,33.274247491638796,,
Adversarial Client 0,5,11016.525390625,27.304347826086957,,
Adversarial Client 0,6,10655.4814453125,21.046822742474916,,
Adversarial Client 0,7,8738.8046875,6.678929765886288,,
Adversarial Client 0,8,7503.26904296875,2.260869565217391,,
Adversarial Client 0,9,5512.2080078125,2.0100334448160537,,
Adversarial Client 0,10,4176.63818359375,2.0100334448160537,,
Adversarial Client 0,11,3614.157958984375,1.7023411371237458,,
Adversarial Client 0,12,3745.800048828125,1.68561872909699,,
Adversarial Client 0,13,3918.6826171875,4.866220735785953,,
Adversarial Client 0,14,4373.7666015625,4.782608695652174,,
Adversarial Client 0,15,3710.7900390625,10.852842809364548,,
Adversarial Client 0,16,4377.75732421875,10.856187290969899,,
Adversarial Client 0,17,3998.3603515625,10.852842809364548,,
Adversarial Client 0,18,5104.16064453125,10.852842809364548,,
Adversarial Client 0,19,3215.752197265625,10.852842809364548,,
Client 1,0,0.617962658405304,58.91698113207547,,
Client 1,1,1554.0322265625,45.554716981132074,,
Client 1,2,3716.82373046875,39.218867924528304,,
Client 1,3,6204.7236328125,35.467924528301886,,
Client 1,4,8319.095703125,29.28301886792453,,
Client 1,5,12564.36328125,23.939622641509434,,
Client 1,6,12287.7666015625,17.562264150943395,,
Client 1,7,10185.6142578125,11.935849056603773,,
Client 1,8,8628.7490234375,10.660377358490566,,
Client 1,9,6486.50537109375,10.226415094339623,,
Client 1,10,4905.73681640625,10.332075471698113,,
Client 1,11,4225.99609375,10.256603773584906,,
Client 1,12,4309.96923828125,10.20377358490566,,
Client 1,13,4291.2744140625,7.943396226415095,,
Client 1,14,4969.0947265625,7.867924528301887,,
Client 1,15,4015.935302734375,0.9924528301886792,,
Client 1,16,5235.01025390625,7.943396226415095,,
Client 1,17,5004.17431640625,0.9886792452830189,,
Client 1,18,6181.783203125,0.9886792452830189,,
Client 1,19,4009.8193359375,0.9886792452830189,,
