client,epoch,loss,training_accuracy,epsilon,delta
Adversarial Client 0,0,0.6563416123390198,59.212765957446805,,
Adversarial Client 0,1,149738336.0,7.911347517730497,,
Adversarial Client 0,2,486181632.0,12.21631205673759,,
Adversarial Client 0,3,1100487680.0,10.163120567375886,,
Adversarial Client 0,4,1792907136.0,10.209219858156029,,
Adversarial Client 0,5,2644631808.0,9.074468085106384,,
Adversarial Client 0,6,3459705088.0,11.829787234042554,,
Adversarial Client 0,7,4967348736.0,12.21631205673759,,
Adversarial Client 0,8,5779128320.0,12.581560283687944,,
Adversarial Client 0,9,7351188992.0,12.882978723404255,,
Adversarial Client 0,10,9242612736.0,8.301418439716311,,
Adversarial Client 0,11,10110465024.0,13.829787234042554,,
Adversarial Client 0,12,12133558272.0,13.698581560283689,,
Adversarial Client 0,13,13400127488.0,13.092198581560284,,
Adversarial Client 0,14,17950144512.0,7.26595744680851,,
Adversarial Client 0,15,21266726912.0,9.50354609929078,,
Adversarial Client 0,16,23738468352.0,9.48581560283688,,
Adversarial Client 0,17,27468709888.0,8.5177304964539,,
Adversarial Client 0,18,27567290368.0,10.634751773049645,,
Adversarial Client 0,19,27073708032.0,10.854609929078014,,
Adversarial Client 1,0,0.6428303718566895,59.205673758865245,,
Adversarial Client 1,1,149631136.0,8.0177304964539,,
Adversarial Client 1,2,492325440.0,12.02127659574468,,
Adversarial Client 1,3,1105246080.0,10.039007092198581,,
Adversarial Client 1,4,1794867968.0,10.102836879432624,,
Adversarial Client 1,5,2630201856.0,9.00709219858156,,
Adversarial Client 1,6,3437592320.0,11.904255319148936,,
Adversarial Client 1,7,4889865216.0,12.039007092198581,,
Adversarial Client 1,8,5745850368.0,12.599290780141844,,
Adversarial Client 1,9,7321899520.0,12.99290780141844,,
Adversarial Client 1,10,9089851392.0,8.329787234042554,,
Adversarial Client 1,11,10056927232.0,14.418439716312056,,
Adversarial Client 1,12,12016078848.0,13.953900709219859,,
Adversarial Client 1,13,13255655424.0,13.72695035460993,,
Adversarial Client 1,14,17651220480.0,7.641843971631205,,
Adversarial Client 1,15,20952061952.0,9.851063829787234,,
Adversarial Client 1,16,23750578176.0,9.393617021276595,,
Adversarial Client 1,17,27376842752.0,8.98581560283688,,
Adversarial Client 1,18,27405623296.0,10.808510638297872,,
Adversarial Client 1,19,26741479424.0,10.914893617021276,,
