accuracy,client,client_trust_score,client_score
87.44166666666666,0,0.2,0.2
87.44166666666666,1,0.2,0.2
87.44166666666666,2,0.2,0.2
87.44166666666666,3,0.2,0.2
87.44166666666666,4,0.2,0.2
96.075,0,0.2,0.2
96.075,1,0.2,0.2
96.075,2,0.2,0.2
96.075,3,0.2,0.2
96.075,4,0.2,0.2
97.75,0,0.2,0.2
97.75,1,0.2,0.2
97.75,2,0.2,0.2
97.75,3,0.2,0.2
97.75,4,0.2,0.2
98.24166666666666,0,0.2,0.2
98.24166666666666,1,0.2,0.2
98.24166666666666,2,0.2,0.2
98.24166666666666,3,0.2,0.2
98.24166666666666,4,0.2,0.2
98.575,0,0.2,0.2
98.575,1,0.2,0.2
98.575,2,0.2,0.2
98.575,3,0.2,0.2
98.575,4,0.2,0.2
